title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,hasFemaleDirector,hasFemaleWriter,primaryDirGender,primaryWriterGender
"Rocketeer, The",1991,102803.0,3987,1,6.6,61925.0,108,Action,Adventure,Family,0,0,M,M
"Last Boy Scout, The",1991,102266.0,4290,3,7.0,112400.0,105,Action,Comedy,Crime,0,0,M,M
Neon City,1991,104981.0,4358,3,5.3,1264.0,99,Action,Adventure,Sci-Fi,0,0,M,M
Life Stinks,1991,102303.0,4577,0,5.9,11353.0,92,Comedy,,,1,1,F,F
Defending Your Life,1991,101698.0,4631,3,7.2,21385.0,112,Comedy,Drama,Fantasy,0,0,M,M
L.A. Story,1991,102250.0,4666,3,6.7,34494.0,95,Comedy,Drama,Fantasy,0,0,M,M
Europa,1991,101829.0,4736,0,7.5,23244.0,112,Crime,Drama,Thriller,0,0,M,M
"Princess and the Goblin, The",1991,107875.0,4973,3,6.7,3170.0,82,Adventure,Animation,Comedy,0,0,M,M
Lethal Games,1991,100009.0,5133,3,4.3,103.0,83,Action,Thriller,,0,0,M,M
Madonna: Truth or Dare,1991,102370.0,5260,3,6.4,10061.0,120,Documentary,Music,,0,0,unknown,unknown
My Girl,1991,102492.0,5265,3,6.9,89182.0,102,Comedy,Drama,Family,0,0,M,unknown
"Lovers on the Bridge, The",1991,101318.0,5332,1,7.6,15498.0,125,Drama,Romance,,0,0,unknown,unknown
Boyz n the Hood,1991,101507.0,5638,2,7.8,155342.0,112,Crime,Drama,,0,0,M,M
"Linguini Incident, The",1991,102313.0,5639,3,6.2,1426.0,98,Comedy,Crime,,0,1,M,M
"Five Heartbeats, The",1991,101891.0,5814,1,7.5,4915.0,121,Drama,Music,,0,0,M,M
Dick Tracy,1991,99422.0,5833,1,6.2,65878.0,105,Action,Comedy,Crime,0,0,M,M
Freddy&#39;s Dead: The Final Nightmare,1991,101917.0,6028,2,4.7,51152.0,89,Fantasy,Horror,,1,1,F,M
Dragon Ball Z: Cooler&#39;s Revenge,1991,1125254.0,6089,0,7.0,8310.0,47,Action,Animation,Sci-Fi,0,0,M,M
Nekromantik 2,1991,102522.0,6335,1,5.2,4200.0,104,Horror,,,0,0,M,M
Soapdish,1991,102951.0,6371,3,6.6,17701.0,97,Comedy,Romance,,0,0,M,M
Robin Hood,1991,102797.0,7146,1,5.7,5896.0,104,Action,Adventure,Drama,0,0,M,M
"People Under the Stairs, The",1991,105121.0,7163,3,6.4,39773.0,102,Comedy,Horror,Mystery,0,0,M,M
Hachi-gatsu no rapusodi,1991,101991.0,7172,3,7.2,7593.0,98,Drama,War,,0,1,M,F
JFK,1991,102138.0,7200,3,8.0,170371.0,189,Drama,History,Thriller,0,0,M,M
Paprika,1991,98063.0,7235,3,5.5,4724.0,99,Drama,,,0,0,unknown,unknown
City Slickers,1991,101587.0,7365,3,6.8,63262.0,113,Comedy,Western,,0,0,M,M
Riff-Raff,1991,100491.0,7609,0,7.0,4909.0,95,Comedy,Drama,,0,0,M,M
Frankie and Johnny,1991,101912.0,7632,1,6.7,34310.0,118,Comedy,Drama,Romance,0,0,M,M
My Own Private Idaho,1991,102494.0,7650,1,7.0,61920.0,104,Drama,,,0,0,M,M
Oscar,1991,102603.0,7655,2,6.5,34357.0,109,Comedy,Crime,,0,0,M,M
Cape Fear,1991,101540.0,7938,3,7.3,217483.0,128,Crime,Thriller,,0,0,M,M
Mediterraneo,1991,102426.0,8062,2,7.4,16464.0,96,Comedy,Drama,War,1,0,F,M
Until the End of the World,1991,101458.0,9094,3,6.8,11378.0,158,Action,Drama,Sci-Fi,0,1,M,M
Samurai Cop,1991,130236.0,9322,1,4.5,10187.0,96,Action,Crime,Thriller,0,0,M,M
Highlander II,1991,102034.0,9378,1,4.2,48171.0,91,Action,Adventure,Fantasy,0,0,M,M
Deathstalker IV: Match of Titans,1991,99388.0,9517,1,3.7,1089.0,85,Action,Adventure,Fantasy,0,1,M,M
Delta Force 3: The Killing Game,1991,101702.0,9533,0,3.4,1094.0,97,Action,Adventure,Crime,0,0,M,M
Kickboxer 2: The Road Back,1991,102202.0,9548,0,4.5,6318.0,90,Action,Sport,,0,0,M,M
Double Impact,1991,101764.0,9564,1,5.6,44174.0,110,Action,Crime,,0,0,M,M
"Manta, Manta",1991,102397.0,9810,3,5.7,5858.0,91,Comedy,,,0,0,M,M
Child&#39;s Play 3,1991,103956.0,9847,2,5.2,46373.0,90,Horror,Thriller,,0,0,M,M
Showdown in Little Tokyo,1991,102915.0,10117,3,6.1,20780.0,79,Action,Comedy,Crime,0,0,M,M
"Commitments, The",1991,101605.0,10265,3,7.6,38932.0,118,Comedy,Drama,Music,0,0,M,M
Eyes of an Angel,1991,101844.0,10474,0,5.2,1358.0,95,Drama,,,0,0,M,M
Drop Dead Fred,1991,101775.0,10658,3,5.9,31543.0,103,Comedy,Drama,Fantasy,0,1,M,F
New Jack City,1991,102526.0,10733,0,6.6,38955.0,97,Action,Crime,Drama,0,0,M,M
Backdraft,1991,101393.0,10871,1,6.7,88129.0,137,Action,Drama,Mystery,0,0,M,M
For the Boys,1991,101902.0,10889,3,6.4,6079.0,138,Comedy,Drama,Music,0,1,M,M
"Butcher&#39;s wife, The",1991,101523.0,11281,3,5.4,8854.0,107,Comedy,Fantasy,Romance,0,1,M,M
Reservoir Dogs,1992,105236.0,18,0,8.3,1091178.0,99,Crime,Thriller,,0,0,M,M
Aladdin,1992,103639.0,98,0,8.0,468698.0,90,Adventure,Animation,Comedy,0,1,M,M
Alien 3,1992,103644.0,296,0,6.4,320320.0,114,Action,Horror,Sci-Fi,0,0,M,M
Home Alone 2: Lost in New York,1992,104431.0,433,3,6.9,403629.0,120,Adventure,Comedy,Crime,0,0,M,M
Glengarry Glen Ross,1992,104348.0,450,0,7.7,116664.0,100,Crime,Drama,Mystery,0,0,M,M
A Few Good Men,1992,104257.0,451,1,7.7,288558.0,138,Drama,Thriller,,0,0,M,M
A League of Their Own,1992,104694.0,560,3,7.3,121510.0,128,Comedy,Drama,Sport,1,1,F,F
Buffy the Vampire Slayer,1992,103893.0,748,3,5.7,49603.0,86,Action,Comedy,Fantasy,1,0,F,M
Bob Roberts,1992,103850.0,818,1,7.0,15653.0,102,Comedy,Drama,,0,0,M,M
Batman Returns,1992,103776.0,1025,0,7.1,328355.0,126,Action,Crime,Fantasy,0,0,M,M
"Muppet Christmas Carol, The",1992,104940.0,1101,3,7.8,70738.0,85,Comedy,Drama,Family,0,0,M,M
"Mighty Ducks, The",1992,104868.0,1126,1,6.6,71990.0,104,Comedy,Drama,Family,0,0,M,M
FernGully: The Last Rainforest,1992,104254.0,1157,3,6.5,34053.0,76,Adventure,Animation,Family,0,1,M,M
Army of Darkness,1992,106308.0,1276,2,7.4,194787.0,81,Comedy,Horror,,0,0,M,M
Gas Food Lodging,1992,104321.0,1345,3,6.6,4417.0,101,Drama,Romance,,1,1,F,F
Sister Act,1992,105417.0,1352,3,6.5,108723.0,100,Comedy,Family,Music,0,0,M,M
Toys,1992,105629.0,1836,3,5.1,33690.0,118,Adventure,Comedy,Drama,0,1,M,F
Full Contact,1992,105851.0,1867,1,7.1,4856.0,99,Action,Crime,Thriller,0,0,M,unknown
Death Becomes Her,1992,104070.0,1869,3,6.6,131869.0,104,Comedy,Fantasy,Horror,0,0,M,M
Orlando,1992,107756.0,1877,2,7.1,18774.0,94,Biography,Drama,Fantasy,1,1,F,F
El Mariachi,1992,104815.0,1886,0,6.8,71444.0,81,Action,Crime,Thriller,0,0,M,M
My Cousin Vinny,1992,104952.0,1895,1,7.6,141295.0,120,Comedy,Crime,,0,0,M,M
Enchanted April,1992,101811.0,2128,3,7.3,7159.0,95,Drama,,,0,1,M,F
Passion Fish,1992,105107.0,2349,3,7.3,6105.0,135,Drama,,,0,0,M,M
Howards End,1992,104454.0,2415,3,7.4,35968.0,142,Drama,Romance,,0,1,M,unknown
Twin Peaks: Fire Walk With Me,1992,105665.0,2432,3,7.3,105530.0,134,Drama,Horror,Mystery,0,0,M,M
Sarafina!,1992,105316.0,2457,3,6.3,2291.0,117,Drama,Musical,,0,0,M,unknown
Leaving Normal,1992,104697.0,2466,3,6.5,1612.0,110,Comedy,Drama,,0,0,M,M
Single White Female,1992,105414.0,2504,3,6.4,42066.0,107,Drama,Thriller,,0,0,unknown,M
This is My Life,1992,105577.0,2506,3,6.0,1401.0,105,Drama,,,1,1,F,F
Newsies,1992,104990.0,2628,1,6.9,22644.0,121,Drama,Family,History,0,0,M,M
Straight Talk,1992,105481.0,2709,3,5.7,4002.0,91,Comedy,Drama,Romance,0,1,unknown,M
"Crying Game, The",1992,104036.0,3141,2,7.2,60165.0,112,Crime,Drama,Romance,0,0,M,M
Porco Rosso (Kurenai no Buta),1992,104652.0,3414,1,7.7,102635.0,94,Adventure,Animation,Comedy,0,0,unknown,unknown
King of Beggars,1992,100963.0,3556,2,6.8,4226.0,101,Action,Comedy,Drama,0,0,M,unknown
"Player, The",1992,105151.0,3636,3,7.5,65961.0,124,Comedy,Crime,Drama,0,0,M,M
Scent of a Woman,1992,105323.0,3787,1,8.0,330252.0,156,Drama,,,0,0,M,M
Baraka,1992,103767.0,3937,0,8.5,41064.0,96,Documentary,,,0,1,M,M
Dead Alive,1992,103873.0,4141,3,7.5,103560.0,104,Comedy,Fantasy,Horror,0,1,M,M
Malcolm X,1992,104797.0,4391,3,7.7,102313.0,202,Biography,Drama,History,0,0,unknown,M
Wayne&#39;s World,1992,105793.0,4731,1,7.0,171376.0,94,Comedy,Music,,1,1,F,M
Stop! Or My Mom Will Shoot,1992,105477.0,4779,2,4.4,44865.0,87,Action,Comedy,,0,0,M,M
Chaplin,1992,103939.0,4782,1,7.5,62344.0,143,Biography,Comedy,Drama,0,1,M,M
Ladybugs,1992,104670.0,4837,3,5.5,10591.0,90,Comedy,Sport,,0,0,M,M
Como agua para chocolate,1992,103994.0,4838,3,7.1,18872.0,105,Drama,Romance,,0,1,M,F
"Cutting Edge, The",1992,104040.0,4839,3,6.9,22423.0,101,Comedy,Drama,Romance,0,0,M,M
Husbands and Wives,1992,104466.0,4903,3,7.5,31255.0,108,Comedy,Drama,Romance,0,0,M,M
Basic Instinct,1992,103772.0,4940,1,7.1,219889.0,127,Drama,Mystery,Thriller,0,0,M,M
Dracula,1992,103874.0,4947,3,7.4,239297.0,128,Fantasy,Horror,Romance,0,0,M,M
Damage,1992,104237.0,4952,3,6.7,20604.0,111,Drama,Romance,,0,1,M,M
Hero,1992,104412.0,4999,1,6.5,23859.0,119,Comedy,Drama,Romance,0,1,M,F
Candyman,1992,103919.0,5005,3,6.7,100430.0,99,Horror,Thriller,,0,0,M,M
"Lawnmower Man, The",1992,104692.0,5241,1,5.4,39142.0,108,Horror,Sci-Fi,,0,0,M,M
Boomerang,1992,103859.0,5318,3,5.6,31443.0,117,Comedy,Drama,Romance,0,0,M,M
Un Coeur en Hiver,1992,105682.0,5425,3,7.6,10674.0,105,Drama,Music,Romance,0,0,M,M
"Bikini Carwash Company, The",1992,103812.0,5533,3,4.5,1148.0,87,Comedy,,,0,0,M,M
Sneakers,1992,105435.0,5654,1,7.1,62654.0,126,Comedy,Crime,Drama,0,0,M,M
Dragon Ball Z: The Return of Cooler,1992,142237.0,6090,0,6.9,8510.0,45,Action,Animation,Fantasy,0,0,M,M
A River Runs Through It,1992,105265.0,6123,2,7.2,65673.0,123,Drama,,,0,0,M,M
Singles,1992,105415.0,6317,2,6.7,32757.0,99,Comedy,Drama,Music,0,0,M,M
Hellraiser III: Hell on Earth,1992,104409.0,6397,3,5.5,35145.0,97,Horror,,,0,0,M,M
Peter&#39;s Friends,1992,105130.0,6702,3,7.0,12174.0,101,Comedy,Drama,Romance,0,1,M,F
Dragon Inn,1992,105859.0,6862,3,7.2,4847.0,88,Action,Thriller,,0,0,M,M
Unforgiven,1992,105695.0,7006,3,8.2,437249.0,130,Drama,Western,,0,0,M,M
"Last of the Mohicans, The",1992,104691.0,7031,2,7.7,188407.0,112,Action,Adventure,Drama,0,0,M,M
Split Second,1992,105459.0,7179,0,6.0,16713.0,90,Action,Crime,Horror,0,0,M,M
Tom and Jerry: The Movie,1992,105616.0,7191,3,5.4,12120.0,84,Adventure,Animation,Comedy,0,0,M,M
Hard Boiled,1992,104684.0,7245,0,7.7,54141.0,128,Action,Crime,Thriller,0,0,M,M
Freddie as F.R.O.7.,1992,104298.0,7601,1,5.2,809.0,90,Adventure,Animation,Comedy,0,0,M,M
HouseSitter,1992,104452.0,7640,1,6.2,26933.0,102,Comedy,Romance,,0,0,M,M
Bitter Moon,1992,104779.0,8287,3,7.2,42852.0,139,Drama,Romance,Thriller,0,0,M,M
Critters 4,1992,101628.0,8393,1,4.1,8346.0,87,Horror,Sci-Fi,,0,0,M,M
Leap of Faith,1992,104695.0,8583,2,6.1,14820.0,108,Comedy,Drama,Romance,0,0,M,M
Encino Man,1992,104187.0,8622,1,5.8,45323.0,88,Comedy,,,0,0,M,M
"Bodyguard, The",1992,103855.0,8991,2,6.4,148119.0,129,Action,Drama,Music,0,0,M,M
Just another girl on the I.R.T,1992,104575.0,9000,1,6.3,1368.0,92,Drama,Romance,,1,1,F,F
Dien Bien Phu,1992,104105.0,9107,0,6.2,1083.0,140,Drama,War,,0,0,M,M
"Lover / L&#39;amant, The",1992,101316.0,9221,1,6.8,23560.0,115,Biography,Drama,Romance,0,1,unknown,F
Stay Tuned,1992,105466.0,9242,2,6.3,14267.0,88,Adventure,Comedy,Fantasy,0,0,M,M
Strictly Ballroom,1992,105488.0,9331,1,7.2,29465.0,94,Comedy,Drama,Music,0,0,unknown,unknown
Passenger 57,1992,105104.0,9785,1,5.9,50811.0,84,Action,Crime,Thriller,0,0,M,M
Schtonk,1992,105328.0,9812,3,7.2,4035.0,115,Comedy,Crime,,0,0,M,M
"Hand That Rocks the Cradle, The",1992,104389.0,9922,3,6.7,49115.0,110,Drama,Thriller,,0,1,M,F
Far and Away,1992,104231.0,10862,3,6.6,68472.0,140,Adventure,Drama,Romance,0,0,M,M
Beethoven,1992,103786.0,10872,3,5.7,76650.0,87,Comedy,Drama,Family,0,1,M,M
Jurassic Park,1993,107290.0,109,3,8.2,1070706.0,127,Action,Adventure,Sci-Fi,0,0,M,M
Groundhog Day,1993,107048.0,114,2,8.0,686951.0,101,Comedy,Drama,Fantasy,0,0,M,M
Demolition Man,1993,106697.0,117,0,6.7,194012.0,115,Action,Sci-Fi,Thriller,0,0,M,M
Mrs. Doubtfire,1993,107614.0,436,3,7.1,291920.0,125,Comedy,Drama,,0,1,M,F
Point of No Return/The Assassin,1993,107843.0,543,3,6.1,30221.0,109,Action,Crime,Drama,0,1,M,M
Sleepless in Seattle,1993,108160.0,556,2,6.8,191353.0,105,Comedy,Drama,Romance,1,1,F,M
Umi ga kikoeru,1993,108432.0,558,3,6.6,20535.0,76,Animation,Drama,Romance,1,1,F,F
Hocus Pocus,1993,107120.0,587,3,6.9,156230.0,96,Comedy,Family,Fantasy,0,0,M,M
Swing Kids,1993,108265.0,727,1,6.7,17388.0,112,Drama,Music,,0,0,M,M
Manhattan Murder Mystery,1993,107507.0,810,3,7.3,46927.0,104,Comedy,Mystery,,0,0,M,M
Ruby in Paradise,1993,108000.0,852,3,6.9,3275.0,114,Drama,Romance,,0,1,M,F
Dazed and Confused,1993,106677.0,861,3,7.6,200374.0,103,Comedy,,,0,0,M,M
"Sandlot, The",1993,108037.0,899,0,7.8,102803.0,101,Comedy,Drama,Family,0,0,M,M
Bad Boy Bubby,1993,106341.0,950,1,7.3,15068.0,114,Comedy,Crime,Drama,0,0,M,M
Three Colors: Blue,1993,108394.0,984,3,7.8,110804.0,94,Drama,Music,Mystery,0,1,M,M
Robin Hood: Men in Tights,1993,107977.0,1067,3,6.7,137273.0,104,Adventure,Comedy,Musical,1,1,F,unknown
Homeward Bound: The Incredible Journey,1993,107131.0,1088,1,6.9,51316.0,84,Adventure,Comedy,Drama,0,1,M,F
Undercover Blues,1993,108442.0,1097,1,6.0,10039.0,90,Comedy,Crime,,0,0,M,M
Dave,1993,106673.0,1133,3,6.9,56980.0,110,Comedy,Romance,,0,0,M,M
"Wedding Banquet, The",1993,107156.0,1195,3,7.6,17198.0,106,Comedy,Drama,Romance,0,0,unknown,unknown
Sister Act 2: Back in the Habit,1993,108147.0,1353,3,5.7,58638.0,107,Comedy,Family,Music,0,1,M,M
"Secret Garden, The",1993,108071.0,1434,3,7.3,44601.0,101,Drama,Family,Fantasy,1,1,F,F
Addams Family Values,1993,106220.0,1436,3,6.8,109953.0,94,Comedy,Fantasy,,0,0,M,M
Schindler&#39;s List,1993,108052.0,1497,3,9.0,1455732.0,195,Biography,Drama,History,0,0,M,M
Boxing Helena,1993,106471.0,1517,1,4.7,13150.0,107,Drama,Mystery,Romance,1,1,F,M
Cool Runnings,1993,106611.0,1602,1,7.0,114068.0,98,Adventure,Comedy,Family,0,1,M,F
Fei hu wai zhuan,1993,104246.0,1637,2,5.5,127.0,111,Action,Drama,,0,0,unknown,M
Death Train,1993,106689.0,1666,3,5.2,4015.0,98,Action,Thriller,,0,0,M,M
Even Cowgirls Get The Blues,1993,106834.0,1790,3,4.3,7841.0,106,Comedy,Drama,Romance,0,0,M,M
Fatal Instinct,1993,106873.0,1856,3,5.7,8107.0,91,Comedy,Crime,Thriller,0,0,M,M
"Princess and the Cobbler, The",1993,112389.0,1940,0,7.1,4647.0,99,Action,Adventure,Animation,0,1,M,M
"Trial, The",1993,108388.0,2182,1,6.0,2538.0,120,Drama,Thriller,,0,0,M,M
"Piano, The",1993,107822.0,2230,3,7.5,95399.0,121,Drama,Music,Romance,1,1,F,F
Once Upon a Forest,1993,107745.0,2492,3,6.4,6058.0,71,Adventure,Animation,Drama,0,1,M,M
"Nightmare Before Christmas, The",1993,107688.0,2543,1,7.9,375989.0,76,Animation,Family,Fantasy,0,1,M,F
Sonatine,1993,108188.0,2847,0,7.5,23362.0,94,Action,Comedy,Crime,0,0,M,M
Little Buddha,1993,107426.0,2892,1,6.1,17992.0,123,Drama,,,0,0,M,M
"Fugitive, The",1993,106977.0,2916,2,7.8,319681.0,130,Action,Crime,Drama,0,0,M,M
"Joy Luck Club, The",1993,107282.0,3088,3,7.7,18381.0,139,Drama,,,0,1,M,F
"Age of Innocence, The",1993,106226.0,3097,3,7.2,67992.0,139,Drama,Romance,,0,1,M,F
Heart and Souls,1993,107091.0,3123,2,7.0,18984.0,104,Comedy,Drama,Fantasy,0,0,M,M
Pieces of April,1993,311648.0,3176,3,7.0,22149.0,80,Comedy,Drama,,0,0,M,M
Tombstone,1993,108358.0,3180,3,7.8,167119.0,130,Biography,Drama,History,0,0,M,M
Gekij&ocirc;-ban - Bish&ocirc;jo senshi S&ecirc;r&acirc; M&ucirc;n R (Sailor Moon R the Movie: The Promise of the Rose),1993,106417.0,3330,3,7.7,2873.0,61,Action,Animation,Comedy,0,1,M,unknown
Searching for Bobby Fischer,1993,108065.0,3336,0,7.4,42476.0,109,Biography,Drama,Sport,0,0,M,M
Cliffhanger,1993,106582.0,3369,1,6.5,140285.0,113,Action,Adventure,Thriller,1,0,F,M
Untamed Heart,1993,108451.0,3396,3,6.8,15537.0,102,Drama,Romance,,0,0,M,M
"Heroic Trio, The",1993,105619.0,3405,3,6.6,4524.0,88,Action,Fantasy,Thriller,0,1,M,F
Naked,1993,107653.0,3550,3,7.7,44104.0,131,Comedy,Drama,,0,0,M,M
"Evil Cult, The",1993,108624.0,3692,3,6.4,4081.0,107,Action,Fantasy,History,0,0,unknown,M
"Beverly Hillbillies, The",1993,106400.0,3704,3,5.0,19872.0,92,Comedy,Family,,1,0,F,M
Gypsy,1993,107065.0,3715,3,7.1,2167.0,153,Biography,Comedy,Drama,0,0,M,M
"Remains of the Day, The",1993,107943.0,3761,1,7.8,84746.0,134,Drama,Romance,,0,1,M,M
Cannibal! The Musical,1993,115819.0,3921,0,6.9,13106.0,95,Comedy,Horror,Musical,0,0,M,M
Indien,1993,107214.0,4337,0,7.9,3098.0,90,Comedy,Drama,,0,0,M,M
Super Mario Bros.,1993,108255.0,4422,3,4.2,63123.0,104,Adventure,Comedy,Family,1,0,F,M
Telling Secrets,1993,108310.0,4555,3,5.8,284.0,240,Crime,Mystery,Romance,0,1,M,F
Coneheads,1993,106598.0,4636,3,5.4,58110.0,88,Comedy,Sci-Fi,,0,1,M,M
Batman: Mask of the Phantasm,1993,106364.0,4877,0,7.8,57041.0,76,Action,Adventure,Animation,0,0,M,M
Gettysburg,1993,107007.0,4917,0,7.6,31387.0,271,Drama,History,War,0,0,M,M
Indian Summer,1993,107212.0,5065,3,6.5,6028.0,97,Comedy,Drama,Romance,0,0,M,M
Dragon: The Bruce Lee Story,1993,106770.0,5083,3,7.0,32945.0,120,Action,Biography,Drama,0,1,M,M
RoboCop 3,1993,107978.0,5238,3,4.2,54508.0,104,Action,Crime,Sci-Fi,0,0,M,M
Body of Evidence,1993,106453.0,5243,3,4.6,16428.0,99,Drama,Thriller,,0,0,M,M
Short Cuts,1993,108122.0,5316,3,7.6,47452.0,188,Comedy,Drama,,0,0,M,M
Body Snatchers,1993,106452.0,5521,3,6.0,21327.0,87,Horror,Sci-Fi,,0,0,M,M
Rising Sun,1993,107969.0,5580,1,6.2,48344.0,129,Action,Crime,Drama,0,0,M,M
"Blood In, Blood Out",1993,106469.0,5665,0,7.9,34399.0,180,Crime,Drama,,0,0,M,M
Bhaji on the Beach,1993,106408.0,5725,3,6.4,1242.0,101,Adventure,Comedy,Drama,0,1,M,M
Philadelphia,1993,107818.0,5919,2,7.7,258671.0,125,Drama,,,0,0,M,M
Sliver,1993,108162.0,6076,3,5.1,34134.0,107,Drama,Thriller,,0,1,M,F
Hot Shots! Part Deux,1993,107144.0,6173,3,6.6,97632.0,86,Action,Comedy,,0,0,M,M
Farewell My Concubine,1993,106332.0,6215,0,8.1,33290.0,171,Drama,Music,Romance,0,0,unknown,unknown
True Romance,1993,108399.0,6349,1,7.9,243156.0,119,Crime,Drama,Romance,0,0,M,M
"Firm, The",1993,106918.0,6474,3,6.9,148122.0,154,Drama,Mystery,Thriller,0,0,M,M
What&#39;s Eating Gilbert Grape,1993,108550.0,6492,3,7.7,254675.0,118,Drama,,,0,0,M,M
Matinee,1993,107529.0,6844,1,6.9,12444.0,99,Comedy,Drama,,0,0,M,M
Arctic Blue,1993,106303.0,7055,1,5.1,1131.0,95,Action,Thriller,,0,0,M,M
Dragon Ball Z: The History of Trunks,1993,142247.0,7209,1,7.8,6142.0,47,Action,Adventure,Animation,0,0,M,M
Body Bags,1993,106449.0,7272,1,6.2,12649.0,94,Comedy,Horror,Sci-Fi,0,0,M,M
"Pelican Brief, The",1993,107798.0,7277,3,6.6,96278.0,141,Crime,Drama,Mystery,0,0,M,M
"Making of &#39;...And God Spoke&#39;, The",1993,107492.0,7418,1,6.7,947.0,82,Comedy,,,0,0,M,M
In the Name of the Father,1993,107207.0,7514,2,8.1,187577.0,133,Biography,Crime,Drama,0,0,M,M
What&#39;s Love Got to Do with It,1993,108551.0,7526,3,7.3,24696.0,118,Biography,Drama,Music,0,1,M,F
A perfect world,1993,107808.0,7611,1,7.5,87191.0,138,Crime,Drama,Thriller,0,0,M,M
Benny &amp; Joon,1993,106387.0,7619,1,7.1,62189.0,98,Comedy,Drama,Romance,0,0,M,M
Indecent Proposal,1993,107211.0,7642,0,6.0,78363.0,117,Drama,Romance,,0,1,M,M
In the Line of Fire,1993,107206.0,7667,1,7.2,114063.0,128,Action,Crime,Drama,0,0,M,M
Kika,1993,107315.0,7699,3,6.5,15088.0,114,Comedy,,,0,0,M,M
La casa de los esp&iacute;ritus,1993,107151.0,7840,3,6.9,25048.0,145,Drama,Romance,,0,1,unknown,F
Poetic Justice,1993,107840.0,8148,3,6.1,16684.0,109,Drama,Romance,,0,0,M,M
"Man Without a Face, The",1993,107501.0,8552,1,6.7,31058.0,115,Drama,,,1,1,F,F
Mi vida loca,1993,107566.0,8568,3,6.5,2423.0,92,Crime,Drama,,1,1,F,F
Heaven &amp; Earth,1993,107096.0,8652,2,6.8,15148.0,140,Action,Biography,Drama,0,1,M,F
Six Degrees of Separation,1993,108149.0,8759,3,6.8,22620.0,112,Comedy,Drama,Mystery,0,0,M,M
Much Ado About Nothing,1993,107616.0,9033,1,7.3,52151.0,111,Comedy,Drama,Romance,0,0,M,M
Fear of a Black hat,1993,106880.0,9155,1,7.2,4596.0,88,Comedy,Music,,0,0,unknown,unknown
Last Action Hero,1993,107362.0,9466,1,6.5,164295.0,130,Action,Adventure,Comedy,0,0,M,M
Hard Target,1993,107076.0,9565,1,6.2,56457.0,97,Action,Crime,Thriller,0,0,M,M
Leprechaun,1993,107387.0,10136,1,4.8,30592.0,92,Comedy,Fantasy,Horror,0,0,M,M
Guilty as sin,1993,107057.0,10205,2,5.7,5866.0,107,Crime,Drama,Thriller,0,0,M,M
So I Married an Axe Murderer,1993,108174.0,10565,3,6.5,42966.0,93,Comedy,Romance,,0,0,M,M
Grumpy Old Men,1993,107050.0,10696,1,7.0,53930.0,103,Comedy,Drama,Romance,0,0,M,M
Free Willy,1993,106965.0,10763,1,6.0,83201.0,112,Adventure,Drama,Family,0,0,M,M
Teenage Mutant Ninja Turtles III,1993,108308.0,10944,2,4.8,36523.0,96,Action,Adventure,Comedy,0,0,M,M
"Gatica, el mono",1993,106989.0,10967,1,7.2,617.0,136,Biography,Drama,Sport,0,0,M,M
A Bronx tale,1993,106489.0,11052,1,7.8,162054.0,121,Crime,Drama,,0,0,M,unknown
Falling Down,1993,106856.0,11316,1,7.6,207554.0,113,Action,Crime,Drama,0,0,M,M
Pulp Fiction,1994,110912.0,91,3,8.9,2227934.0,154,Crime,Drama,,0,0,M,M
"Lion King, The",1994,110357.0,100,1,8.5,1146038.0,88,Adventure,Animation,Drama,0,1,M,F
Interview with the Vampire,1994,110148.0,120,1,7.5,348491.0,123,Drama,Fantasy,Horror,0,1,M,F
Heisei tanuki gassen pompoko,1994,110008.0,261,1,7.3,34756.0,119,Animation,Comedy,Drama,0,0,M,M
"Shawshank Redemption, The",1994,111161.0,339,0,9.3,2899202.0,142,Drama,,,0,0,M,M
Speed,1994,111257.0,440,3,7.3,393023.0,116,Action,Adventure,Thriller,0,0,M,M
Ace Ventura: Pet Detective,1994,109040.0,441,2,6.9,326067.0,86,Comedy,,,0,0,M,M
Clerks.,1994,109445.0,488,1,7.7,232665.0,92,Comedy,,,0,0,M,M
Heavenly Creatures,1994,110005.0,567,3,7.3,67522.0,99,Biography,Crime,Drama,0,1,M,F
Drop Zone,1994,109676.0,571,2,5.6,21606.0,101,Action,Adventure,Thriller,0,0,M,M
Timecop,1994,111438.0,574,1,5.9,64378.0,99,Action,Crime,Sci-Fi,0,0,M,M
Forrest Gump,1994,109830.0,776,1,8.8,2265643.0,142,Drama,Romance,,0,0,M,M
Reality Bites,1994,110950.0,860,3,6.6,53778.0,99,Comedy,Drama,Romance,0,1,M,F
Dumb &amp; Dumber,1994,109686.0,890,2,7.3,413555.0,107,Comedy,,,0,0,M,M
Stargate,1994,111282.0,959,1,7.0,205625.0,116,Action,Adventure,Sci-Fi,0,0,M,M
Little Women,1994,110367.0,960,3,7.3,63761.0,115,Drama,Family,Romance,1,1,F,F
"Santa Clause, The",1994,111070.0,1051,1,6.6,133581.0,97,Comedy,Drama,Family,0,0,M,M
True Lies,1994,111503.0,1098,3,7.3,281817.0,141,Action,Comedy,Thriller,0,0,M,M
Angels in the Outfield,1994,109127.0,1128,1,6.2,34552.0,102,Comedy,Drama,Family,0,1,M,F
"Pagemaster, The",1994,110763.0,1208,1,6.1,25648.0,80,Adventure,Animation,Comedy,0,0,unknown,M
