title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,hasFemaleDirector,hasFemaleWriter,primaryDirGender,primaryWriterGender
Stachka,1925,15361.0,5991,0,7.6,8649.0,82,Drama,,,0,0,M,M
Flesh and the Devil,1926,16884.0,1260,1,7.6,4641.0,112,Drama,,,0,1,M,M
"General, The",1926,17925.0,1310,0,8.1,98417.0,78,Action,Adventure,Comedy,0,0,M,M
"Temptress, The",1926,17449.0,1334,1,6.9,1347.0,62,Drama,Romance,,0,1,M,M
For Heaven&#39;s Sake,1926,16895.0,1966,0,7.5,1973.0,58,Action,Comedy,Romance,0,0,M,M
So&#39;s Your Old Man,1926,17410.0,3217,3,6.5,243.0,67,Comedy,Romance,,0,0,M,M
Die Abenteuer des Prinzen Achmed,1926,15532.0,5974,1,7.8,6914.0,80,Adventure,Animation,Family,1,1,F,F
It,1927,18033.0,1227,3,7.2,3592.0,72,Comedy,Romance,,0,1,M,F
Metropolis,1927,17136.0,1267,1,8.3,185961.0,153,Drama,Sci-Fi,,0,1,M,F
"Unknown, The",1927,18528.0,1311,0,7.7,9200.0,68,Drama,Horror,Romance,0,0,M,M
Abel Gance&#39;s Napoleon,1927,18192.0,1312,2,8.2,8832.0,330,Biography,Drama,History,0,0,M,M
Sunrise: A Song of Two Humans,1927,18455.0,1632,2,8.1,53941.0,94,Drama,Romance,,0,1,unknown,M
"Kid Brother, The",1927,18051.0,1964,0,7.6,4842.0,82,Comedy,Drama,Family,0,0,M,M
Nevada,1927,18199.0,1982,0,6.2,140.0,70,Western,,,0,1,M,M
My Best Girl,1927,18183.0,2010,3,7.5,950.0,80,Comedy,Romance,,0,1,M,F
Wings,1927,18578.0,3118,1,7.5,14591.0,144,Action,Drama,Romance,0,1,M,M
"Jazz Singer, The",1927,18037.0,5975,1,6.4,11114.0,88,Drama,Music,Musical,0,0,M,M
Downhill [When Boys Leave Home],1927,17825.0,7324,1,6.0,3074.0,110,Adventure,Drama,Thriller,0,1,M,F
"Cat and the Canary, The",1927,17739.0,11142,3,7.1,3390.0,108,Comedy,Horror,Mystery,0,0,M,M
"Passion of Joan of Arc, The",1928,19254.0,1314,0,8.1,60888.0,114,Biography,Drama,History,0,0,M,M
Speedy,1928,19412.0,1963,0,7.6,4294.0,85,Action,Comedy,Family,0,0,M,M
"Circus, The",1928,18773.0,1968,0,8.1,36160.0,72,Comedy,Family,Romance,0,0,M,M
"Cameraman, The",1928,18742.0,1970,0,8.0,13225.0,76,Comedy,Drama,Family,0,0,M,M
"Steamboat Bill, Jr.",1928,19421.0,1971,0,7.8,16220.0,70,Action,Comedy,Drama,0,0,M,M
"Racket, The",1928,19304.0,1972,0,6.6,1592.0,84,Crime,Drama,Film-Noir,0,1,M,unknown
Beggars of Life,1928,18684.0,1977,0,7.4,1327.0,84,Adventure,Crime,Drama,0,0,M,M
"Power of the Press, The",1928,19290.0,1979,1,6.4,327.0,62,Drama,,,0,1,M,F
A Girl in Every Port,1928,18937.0,1980,0,6.6,822.0,78,Action,Adventure,Comedy,0,0,M,M
"Patsy, The",1928,19258.0,2013,3,7.5,2783.0,78,Comedy,Drama,Romance,0,0,M,M
While the City Sleeps,1928,19571.0,2017,2,6.5,264.0,66,Action,Crime,Drama,0,0,M,M
"Man Who Laughs, The",1928,19130.0,2021,2,7.6,8109.0,110,Drama,Horror,Mystery,0,1,M,M
"Crowd, The",1928,18806.0,5912,1,8.1,9201.0,98,Drama,Romance,,0,0,M,M
